t_aux, position_x,position_y,position_z, velocity_x, velocity_y, velocity_z, latitudes, longitudes, altitudes, Bx_IGRF, By_IGRF, Bz_IGRF, vsun_x, vsun_y, vsun_z, Bx_IGRF_n, By_IGRF_n, Bz_IGRF_n, vsun_x_n, vsun_y_n, vsun_z_n
0,-79.54740241826661,-1020.98661131789,6730.293477799688,-6.806677698377012, -3.439075785533734, -0.5943285482630719, 81.38843501523102, 44.46808621662836, 450524.15866996156, 0.07766491945336937, 0.03795451875544392, 0.9962568016291504, -0.7793182280209868, -0.5749353866584435, -0.2492235956769251, 3645.3653874231954, 1781.4746985023407, 46761.39610013186, -0.7793182280209868, -0.5749353866584435, -0.2492235956769251
43200,5855.676750472725,3273.4878647210057,-1195.4758081028635,1.6397868871068932, -0.22338098754011343, 7.471104897518632, -10.049845387236253, -11.513266911744788, 436746.8951156683, 0.694387618836135, -0.1621318447322133, -0.7010984950282036, -0.7738179169025071, -0.581155849845516, -0.2519200461872791, 16199.342109869202, -3782.367583286527, -16355.899882996708, -0.773817916902507, -0.5811558498455159, -0.25192004618727903
86400,-2862.730496787421,-641.7408363254236,-6162.768338417365,5.9216912313996195, 3.659431038816381, -3.1263685304336857, -64.81071345758164, -28.50941184314418, 464798.95435670664, 0.49209345266033594, -0.049245447018872894, -0.8691483876742458, -0.7682571704768171, -0.5873336216507828, -0.25459799074134526, 13937.062446301878, -1394.7287178637212, -24616.005940805982, -0.768257170476817, -0.5873336216507827, -0.2545979907413452
129600,-4406.5125093253255,-3053.770561606499,4210.048136722664,-4.547752841344164, -1.6366901174902586, -5.923839391132037, 38.20682890779807, 172.97071678021953, 446701.51526757865, 0.6257359237731712, 0.028868671792477808, 0.7795005795306853, -0.7626363726443437, -0.593468189884161, -0.25725720731496565, 21592.312212771434, 996.173227121877, 26898.279679662646, -0.7626363726443437, -0.593468189884161, -0.25725720731496565
172800,4987.094096344816,2205.5216983654773,4075.3913792062503,-3.6470337609165244, -2.951464286076017, 6.049648943013381, 37.06749799374312, 161.7088117303122, 437254.0135412851, 0.6504601924007496, -0.010134134600211486, 0.7594727364546305, -0.7569559127900404, -0.5995590450868822, -0.2598974750679638, 22827.24951004735, -355.6473121492822, 26652.935650283627, -0.7569559127900404, -0.5995590450868822, -0.2598974750679638
216000,1905.7476687797584,2024.7604740771728,-6227.178244930348,6.283371048968474, 3.172928179201688, 2.9619860852865885, -65.98004423522156, 3.8433741232787555, 459451.943189884, 0.43161944741433184, -0.19502134677405555, -0.8807220486147603, -0.7512161857638557, -0.6056056805861976, -0.26251857436785825, 12704.305050507593, -5740.266560324961, -25923.209988193797, -0.7512161857638557, -0.6056056805861976, -0.26251857436785825
259200,-5880.01868096412,-3287.7882154591034,-1091.1523567540842,0.5685524944266547, 1.4531784501545586, -7.47912349831266, -9.373914047625389, -13.95086585013828, 446998.0464724833, 0.7141339062134354, -0.17492496466875285, -0.6778008710026683, -0.7454175918612493, -0.6116075925492259, -0.26512028681320476, 16432.05797606334, -4024.983460228962, -15596.04313930072, -0.7454175918612493, -0.6116075925492259, -0.26512028681320476
302400,912.9235472210505,-467.19882591149303,6729.149864907695,-6.500940334216736, -3.9851376663770526, 0.6106705945363048, 81.50371218975596, -71.17826547228665, 449623.9438920103, 0.043824982045998974, -0.03554436448130151, 0.9984067152730336, -0.7395605368022957, -0.6175642800375004, -0.2677023952572411, 2049.057748772513, -1661.8935608270176, 46680.97785435359, -0.7395605368022957, -0.6175642800375004, -0.2677023952572411
345600,5367.937250084286,3604.8566439763927,-2148.7095592111623,2.5545811534806195, 0.4719931786833209, 7.196844433020704, -18.37886805243967, 169.70142293571573, 437687.4395576504, 0.7189512564051135, 0.1506840992408752, -0.6785303185189846, -0.7336454317106189, -0.6234752450608843, -0.2702646838312587, 25800.192972418557, 5407.4303419799935, -24349.652357463936, -0.7336454317106188, -0.6234752450608841, -0.2702646838312586
388800,-3463.987304689045,-1284.575372601889,-5737.04226870499,5.220577499280604, 3.86300475838415, -4.011488127838758, -57.50668726965327, 155.76419436137007, 460749.82042180264, 0.11888472740793696, 0.09116747558982195, -0.9887137669637859, -0.7276726930911024, -0.6293399926319423, -0.27280693796817074, 6193.783413728207, 4749.740445987783, -51511.06508182305, -0.7276726930911023, -0.6293399926319422, -0.2728069379681707
