Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461
2,25.385011254183553,29.827687057936505,22.166399948226434,0.15850831634102794,0.28725331554255457,0.1225746808208238,0.9366622091139449,0.1600916209773273,0.2872088936011137,0.12572579929583885,0.9359886472178486,-0.03718721756821723,-0.03829802803884665,-0.1090320049601462,-0.036242805843044235,-0.037251948041255485,-0.10809036021473058,25.086056501900003,29.95108299937742,21.722663591431935
4,14.126656173900814,25.775072749863547,8.581799732773238,0.102533285672675,0.22967157093608576,0.04412369130920712,0.9668459001817021,0.1029716318576226,0.22969359666899478,0.045032787250141156,0.9667521620117138,-0.07631529402510726,-0.07662516353005808,-0.04961278766871888,-0.07515682011409572,-0.07730539545327923,-0.04824140665179632,14.046537052192564,25.78947705182114,8.457034612473269
6,5.759297998093792,15.2891497958936,3.0353144878556537,0.04450206862335455,0.13371153149060852,0.01454324693272233,0.989913777156037,0.046255446982318135,0.1341316445693447,0.019535765009025298,0.9896906028830935,-0.040859879284120465,-0.1148814058359683,-0.010182128749243288,-0.042366073666849476,-0.11604213325984336,-0.012360302123665522,5.472273881701514,15.273765079397043,2.4176836235417065
8,1.8617493304152457,4.35544230082134,0.9450083493244574,0.014882015421007798,0.03765683905186663,0.0034531402532370793,0.9991739407690845,0.015920502011057585,0.038126825947376916,0.007622297336943027,0.9991170018282151,-0.017840134146339736,-0.07688087947661433,-0.01035471665486727,-0.01902177453482034,-0.0782144542447112,-0.011987194704409902,1.7239796814017587,4.309765446757831,0.46090029565338647
10,0.4579334884011715,-2.3061759599160783,-0.12016941687206502,0.0035797013363204444,-0.020354003301635445,-0.0029405393976732817,0.9997821030184479,0.003974298280826146,-0.020127841447627366,-0.0009680360278576644,0.9997890466783896,-0.004962746073956807,-0.03891890331919601,-0.0022714852375556424,-0.0016903714108026683,-0.03590674084456378,0.0010727661020037368,0.4173217823823874,-2.331325773791899,-0.3455249378417606
12,0.13262562367603162,-4.600045949035244,-0.2245250681210804,0.0008755134082005477,-0.040285080306830395,-0.0030938887695985883,0.9991830531155067,0.0010778090740091039,-0.04013435515529846,-0.0019113218140100836,0.9991918828297154,-0.00085000063220308,-0.0008535245399594334,0.0012860588525268812,-0.00041555580822760037,-0.0006496321373044724,0.001903416351820406,0.11489985880402878,-4.617244331379552,-0.3594544507730837
14,0.046136262358546676,-3.1364107065255933,-0.2637680266578853,0.00043300656290882003,-0.027258321668508837,-0.0016381455233068914,0.999626986872792,0.00033946954854100733,-0.027367781215832693,-0.0022899276119653167,0.9996227516134676,-0.000461113990859671,0.02691069696038057,0.0005806083993982218,-0.0014968686413548444,0.025675332681798533,-3.362896257000964e-05,0.054798693170844924,-3.123874620531811,-0.18928176325196763
16,-0.02449996935246514,-1.084466685752595,-0.3465683497497894,0.0003830225742893093,-0.009080903582902903,-3.9942288502035004e-05,0.9999586935911099,-0.00024241353279582905,-0.009462925793686,-0.0030262626149635263,0.9999506167834927,-0.00014338243188083492,0.009353320007275382,0.0010705374353600886,-0.0024197548561373707,0.006863527750736015,-0.0005776235926832409,0.04393815549360855,-1.0406073706125405,-0.004976252100869488
18,0.08744587884644077,-0.30609951775208355,0.290945316008002,0.0006956549575055525,-0.002702382572824656,0.002233740547341281,0.999993611777484,0.0007698861493624058,-0.0026692721398641926,0.002541002753517442,0.9999929127581689,0.0003602473788676153,0.003334923249316091,0.002238989957514612,0.002035216206571969,0.004884247362080635,0.004118310319435734,0.07902513452353906,-0.309847829387835,0.2557553420609035
20,0.16112223446561577,-0.03503046989948461,0.6473568125569323,0.0006793146494609672,-0.0006956218652041921,0.002451664067552962,0.9999965219865155,0.0014077607370094473,-0.00029775020784465506,0.005649647833016951,0.9999830053725334,-0.0005417709207484744,0.0007158022936720073,-0.002070641801650016,-0.0020284094021350172,-0.0008355098625647072,-0.0036416067568355998,0.07764812527156906,-0.07990298934808053,0.2808862790443785
22,-0.021060812837427924,-0.05715094332536556,-0.1303630282934571,4.988954425630699e-05,-0.00039236555454984196,-0.00018593602711605608,0.9999999044940449,-0.00018435749872511073,-0.0004985266283723584,-0.0011377232899766813,0.9999992115343037,-0.0008756261155263118,-8.755319068271519e-05,-0.0035482837705062597,-5.883418648991335e-05,0.0006127155009170581,-0.0024616077677611665,0.005725281896559715,-0.044960717942672146,-0.021308947366167223
24,-0.06091531428805048,-0.053917034393871466,-0.30169466201135614,-3.37412724182727e-05,-0.00023367261563018063,-0.0005944333444408707,0.9999997954537962,-0.0005328232351237541,-0.0004691136224227764,-0.002633029007362279,0.9999962815881146,0.00041819888164477666,0.00035338918168297033,0.001845828367086947,0.002521285780717979,0.0023393428188286675,0.004274092679633073,-0.0038505475547733307,-0.02677920318037762,-0.06811614974200927
26,-0.038360449399492694,-0.036781807157281576,-0.21248776077059892,0.00043589892546222063,7.684027870516247e-05,0.0013787028650842025,0.9999989516325045,-0.00033535267123820025,-0.0003203605011847013,-0.0018544117118062362,0.9999981730308003,0.00020357922930518946,0.0001810594829914042,0.0010767484956998399,-0.0006346323131275674,-0.0007715796416155199,0.000619633473727465,0.04996243181266815,0.008736371462197967,0.15799158536808844
28,0.1058095292224435,0.042183959139555804,0.4010900732886805,0.0007803050145618247,0.00029626686267132717,0.002902968952354627,0.9999954380502403,0.0009220679870217813,0.0003713539879854588,0.0034998224016702926,0.9999933815430978,0.0002588391770804152,0.00020596315807484722,0.0012742565436514193,0.0031608515389904626,0.003047660715672437,0.004266318571140139,0.08951456698340494,0.03368995580538313,0.33268263847522034
30,0.1642931866275442,0.07077420683459178,0.6399235110293229,0.0006144299253586978,0.0002367271244502106,0.0023066386605421663,0.9999971229229738,0.0014302563873183332,0.0006256176107535005,0.0055834647970693955,0.9999831938038417,-0.0006466845626130616,-0.0003008956920007268,-0.002527328500831883,0.00010529078614078211,0.0004274822786621125,-0.0018608110701454875,0.07047087808637476,0.026964446274563257,0.2643381943601402
32,0.0867189736443107,0.033050736785018534,0.3246488246903251,-8.228690707362677e-05,-0.00010091645880782919,-0.00048566728509394,0.9999998735860027,0.0007559455402822106,0.00029056483107190264,0.0028328724656878947,0.9999956594665861,-0.0007350047197770831,-0.0003188950321073079,-0.002880081448697751,0.0009800542553028125,0.0013756927211182545,-0.001245013882944466,-0.00942376767042957,-0.011568752506720707,-0.055652422636814906
34,0.054130628711282894,0.015777011003902636,0.18391568371572506,-0.0005808728266628513,-0.0003312413589889866,-0.002468290840259047,0.9999967301977788,0.0004721572457589414,0.0001384383531041051,0.0016049011929047752,0.9999985910962669,-0.00023211942776087273,-8.056779263596453e-05,-0.0008601036106635022,-0.0007154323364033353,-0.0005727626735549098,-0.001458559245400289,-0.06646924471707283,-0.03812163958607462,-0.2828235333580639
36,-0.05584092769055326,-0.03441628041564773,-0.24509350631258311,-0.0008390843029392918,-0.00043691139970874517,-0.0034285948257774834,0.9999936748717374,-0.0004879452440563458,-0.0002992957110601666,-0.0021389887049611226,0.9999975485264132,-0.0002940617202504584,-9.661309515692385e-05,-0.0010031487882233067,-0.0013114629762382517,-0.0011489800637126018,-0.001972528621761973,-0.09597979501352469,-0.05039571444658576,-0.39284676137704383
38,-0.08287252017116477,-0.04381701567032601,-0.3394212753397016,-0.0007447715318316042,-0.00037147690716697504,-0.002984384210000956,0.9999952003740618,-0.000724328477934997,-0.0003802316899649711,-0.002962280613142328,0.999995277821694,0.00039383638483822585,0.0002206015034280211,0.0016425876644117756,0.000653014564227219,0.00043525476798955166,0.0020137063941687993,-0.08521713692961425,-0.0428226184808062,-0.3419540199865666
40,-0.017759598028361256,-0.010827075182449544,-0.07943590593243748,-0.0003158785397807999,-0.00015981523457074827,-0.0012838650800508443,0.9999991131847544,-0.000155047188359341,-9.437659644210078e-05,-0.0006932236277730612,0.9999997432471818,0.00036696312501743276,0.00018649152790118536,0.001475365038192947,-0.002656603640128337,-0.0028735054246251637,-0.0014740224355606788,-0.03617347446316444,-0.018359933041839995,-0.1471143549999433
42,-0.012429750180679324,-0.008228991280395647,-0.06028536832864685,-9.446181996012141e-05,-6.067982176139114e-05,-0.00045817922941183845,0.9999998887333525,-0.00010850779666575535,-7.175442066122308e-05,-0.000526096844731437,0.9999998531497248,-1.6291987004756128e-05,-5.782467174861213e-06,-9.234514463067351e-05,-0.002929602236655842,-0.0029586520386535448,-0.0029035496122007567,-0.010821340256072513,-0.0069583541940309536,-0.05250281727432628
44,0.008231776366877198,-0.0016488723126532523,0.009240162581036658,-1.3231900288691654e-05,-2.7970658895069553e-05,-0.00016268931270011625,0.9999999862873732,7.183696041836068e-05,-1.4383332790953224e-05,8.063666357988348e-05,0.9999999940651498,8.747318030290117e-05,5.1389390677928124e-05,0.0004087189779127525,0.0009744434603268716,0.000906878200331899,0.001376882623848903,-0.0015157426127024194,-0.0032054480474570067,-0.018642779670783382
46,0.0126974749199659,0.0077388904452141555,0.05171481247706602,3.248401834611911e-05,2.8453288937270717e-06,6.709950283816362e-05,0.9999999972171747,0.00011077588212372188,6.758455858427905e-05,0.00045128937251052347,0.9999998897494607,-7.476585746202775e-05,-4.577967282966307e-06,-0.00017511884022662389,-0.004054949717989392,-0.004017729970681295,-0.004089212414387593,0.003722416175874502,0.00032580090216150994,0.0076890472333480805
48,-0.08189270347380817,-0.03337096529451946,-0.2943037806010318,8.854113469277123e-06,-1.5573382855024957e-05,-3.7551514153707484e-05,0.9999999991344791,-0.0007153941326348753,-0.000289380151395061,-0.0025684895149464264,0.9999964036595206,-9.924255147698282e-05,-6.894211509633123e-05,-0.0004246199905988861,0.0006210689671989776,0.0005942101564997579,0.0004933090994821746,0.001014673679520372,-0.0017845401193959994,-0.004303102353932533
50,0.03584314709905451,0.010185671037871422,0.11528684388834182,0.00029718678741362574,8.949335665586958e-05,0.0009714087951277535,0.9999994800178175,0.0003127008748933492,8.920138688216872e-05,0.0010060394792203867,0.9999994410727647,0.00055238216601857,0.0002403365587706067,0.0020516289476339065,0.0022443738546182794,0.0019067836106105493,0.0038132414247319404,0.03406504410794099,0.010222096562367994,0.11131830991313953
52,0.04282330136722769,0.01699085044684592,0.15180541810873946,0.00041729485352842423,0.0001516206459398454,0.0014334923819494427,0.999998873987254,0.0003735070368945031,0.0001487680652687116,0.0013246962794462868,0.9999990417697026,-0.0003837547750233644,-0.00013825450270816606,-0.0013389322997727545,0.004240740039894503,0.0044592935507433255,0.003356017914159223,0.04784332787378281,0.017305879488727402,0.16427342475793316
54,0.013182610757995546,0.004452423862043269,0.04314405524018791,0.00020095389706928357,6.617576400723742e-05,0.0006552943240461306,0.9999997629137961,0.00011502534345596537,3.889803790892758e-05,0.0003764984267842351,0.9999999217525208,-0.0001224081497515029,-5.264731611039123e-05,-0.00043544647701705994,-0.003332959460594705,-0.0032888972960053277,-0.0035719963619089364,0.023032584936703914,0.007568092322559093,0.07509272643375849
56,0.05436901117540836,0.02099500618676746,0.1864020840478422,0.0001584444813972298,4.70090613483202e-05,0.0004947329273788885,0.9999998639624033,0.00047416044366488424,0.00018398751387129001,0.0016265771934636506,0.9999985477824967,-9.320297666115246e-06,4.524256805503115e-06,-1.4321387902497613e-05,0.003246898582071336,0.0032498194751666787,0.003249808481989119,0.018159063104373107,0.0053778583343509715,0.056693072753813446
58,-0.0765785463322214,-0.031464297217460024,-0.26814817168023897,7.523687856254659e-06,-1.3398930685904152e-05,-3.1870607405171893e-05,0.9999999993740636,-0.0006689145010550008,-0.000273013192943132,-0.0023402149858552357,0.9999970007010056,-0.0003721461530869922,-0.00015316846358357194,-0.0012817420655216933,0.0001743106718799664,0.0003514533522398775,-0.0005798986926533547,0.0008622000551463626,-0.0015353768785240642,-0.0036521141430709645
60,-0.09528936190028728,-0.03288501734912261,-0.3100379098705451,0.0001724907078753448,5.199634561258714e-05,0.0005509394647979647,0.9999998320045068,-0.0008323298182487797,-0.00028472491116773337,-0.0027058254546499577,0.999995952325512,0.0005467369270880486,0.00022585117909359212,0.001953439001904743,0.00226994511847449,0.001896634607360573,0.0038596433135502065,0.01976925899705628,0.005947451459150873,0.06313404246897525
62,-0.011243294277164067,-0.003604694579983824,-0.03383502101994205,0.0007168967576703363,0.0002553154439233309,0.0023736452151986616,0.999996893335902,-9.81255356300021e-05,-3.142792252867086e-05,-0.0002952693402145353,0.9999999510998397,0.0003875684644105086,0.00011860858676889378,0.0012061029983172372,0.0009814286883989194,0.0006718406720786669,0.0019483875106853404,0.08221954642923904,0.029061909409978333,0.27202089191320805
64,0.06603755546864624,0.01926092277452534,0.20240560370525332,0.000949152521420574,0.0003343925686579155,0.003086619751658219,0.9999947300209185,0.000575988558461698,0.0001691008755738254,0.0017662240039242846,0.9999982600459075,-3.058485769678769e-05,-8.543765631820138e-06,-0.00012218973765446622,-0.0014879355017787747,-0.0014859944800715444,-0.0014933863313514684,0.10888265829762311,0.03798265082591402,0.35373740057949765
66,0.0827102807780945,0.028799608833591842,0.26551999414389377,0.0007851456039865308,0.0002938501583784475,0.002580964731570547,0.9999963179029807,0.0007211989974158708,0.00025299569779077113,0.0023169149127217643,0.9999970238808066,-0.0003539779205672214,-0.00010088076740032223,-0.0010688863242868914,-0.0023770961174214827,-0.002133030538414411,-0.0030548892332405244,0.09005768813652457,0.03344041355119644,0.2957834855509956
68,0.18252268966668164,0.06229579790236549,0.5827555322049521,0.00044468924833860154,0.00018517163716405771,0.0015072511404324233,0.9999987480776847,0.001590024808618658,0.0005517258483421703,0.0050846063690082105,0.9999856569960234,-0.00029077957315829244,-0.00010487924946096135,-0.0009606097117006494,0.0005198261168991399,0.0007392073557396253,-0.00026887801246013206,0.050989563178839,0.021142274552845817,0.17272775109562122
70,0.0032970349793829544,0.005269539485903214,0.023708128565886322,-0.00023670214065467452,-5.3932221573881074e-05,-0.0006643373588135134,0.9999997498596116,2.876254328812912e-05,4.599135874855637e-05,0.00020689112660527353,0.9999999771267861,-0.0010183619549793427,-0.000353768202415296,-0.0032042473762549407,-0.0028805922705526345,-0.002217282546353512,-0.005072164877231877,-0.027119955986289794,-0.006198195349318144,-0.07612599460509077
72,-0.12306409081579167,-0.03999888715999148,-0.3816270800356998,-0.0005816447039907994,-0.00018485978438460683,-0.0017969296754931816,0.9999981992783986,-0.001075093027831552,-0.00034547744444843727,-0.003330691113254009,0.9999938156393894,0.0002833201120618432,7.860955169191206e-05,0.0008093362444702485,0.0020606459008955503,0.0018291358801342606,0.0026766872978743615,-0.0666134079921031,-0.02130310142956418,-0.20590073839645667
74,-0.08289480521771693,-0.024349400314822515,-0.25364664896561206,-8.359605549995072e-05,-2.5805189018320897e-05,-0.0003066979207667603,0.9999999491410873,-0.0007238621300996774,-0.00021088680625958394,-0.0022136358564373263,0.9999972656795951,0.0006175480205157227,0.00020342361243659248,0.0018880382789099666,0.001978779293705006,0.0015332927646951725,0.0033470393723963815,-0.009578494975193188,-0.002959994674274467,-0.03514474615578524
76,0.1032976382857493,0.030350313933672733,0.30163810231261373,0.0004144526841433398,0.00013288108442069017,0.0012103011089601985,0.9999991728710658,0.000900741494451592,0.00026722827788065365,0.0026320460639052577,0.9999960947860373,0.00034533869453104795,9.818740439419635e-05,0.0010494411681117417,0.0018235966755704774,0.0015894155455391126,0.002493303466773444,0.0475111763622854,0.015169557647988172,0.13869662746209152
78,0.050970426006368946,0.013284764517822135,0.14017230859484323,0.0002190430909573793,7.220912818028347e-05,0.0006232769997429453,0.9999997791658494,0.0004446587157955124,0.00011647543759891445,0.0012231821519028548,0.9999991462683966,-0.000717358558035812,-0.00021998849246535437,-0.002169921552257143,-0.0016537106035708219,-0.0011529306819013105,-0.0031064863246686074,0.025105642148660418,0.008258910217739838,0.07142409905823559
80,0.06632717953809082,0.021787876167845197,0.19655296736943434,-0.00016328261193751368,-3.933676419756153e-05,-0.0005097945919563494,0.9999998559504305,0.0005784868103571306,0.00019112758421692606,0.0017151370055352264,0.9999983435627826,-1.5000583843833575e-05,7.941742163086914e-06,-1.2548986479905063e-07,0.0007613721851595,0.0008040368350994648,0.0007125457378896441,-0.018708508777819793,-0.004517199161068018,-0.05841742294031322
82,0.13607378967921782,0.040130703574533626,0.39905103096307765,-0.0003923371226801467,-0.00011046550940481345,-0.0011508717164261655,0.9999992546813451,0.0011862407281054317,0.00035433927801653043,0.003481951623433716,0.9999931716214382,-0.0003352303531671721,-0.00011234266537481856,-0.000960782247093482,0.00033735857684555814,0.0006095536879931785,-0.00043778996604615925,-0.04494392654655694,-0.01271014710302635,-0.13187523924791617
84,-0.24806646158888926,-0.07433515442298426,-0.72259345807971,-0.0009765313602673812,-0.00029467721153925787,-0.002857116942438933,0.9999953982067221,-0.0021688335989192994,-0.0006350314790572282,-0.006307163867968897,0.999977556038026,-0.0008416891501675456,-0.00025981243359809406,-0.0024721397603743385,-0.002720090207460453,-0.002193262147730562,-0.004188997883584125,-0.11180534904610273,-0.03408708551669498,-0.3273688422203747
86,-0.02585757100872115,-0.009948764601573595,-0.0809335403878562,-0.000442967625273251,-0.00014226711632434616,-0.0013117262771931548,0.9999990314564932,-0.00022571113491197696,-8.665995381561575e-05,-0.0007062978889406228,0.999999721343875,0.0018229040395846344,0.0005396187106233673,0.005313212338956462,0.0030191965132628207,0.001736905206395821,0.006511362476812147,-0.05073892575423374,-0.01636917877661264,-0.1503055705366544
88,0.01572586648854216,0.004467940891406936,0.04447908412670106,0.00024012928942202146,6.428968723936865e-05,0.0006698985457352216,0.9999997447203168,0.00013721892895568596,3.904340420351909e-05,0.00038814786866910907,0.9999999144939015,-0.00047566851462596505,-0.0001410824886463977,-0.001404334358467298,0.0011327337135350903,0.0014558934680842061,0.00023797036009352707,0.02752171908271475,0.0073486201721867156,0.07676649179364521
90,0.07685467886924716,0.020355363346426666,0.21178117949632705,6.341293629792536e-05,1.1976077607124423e-05,0.0001378401274737961,0.9999999884177361,0.0006703540974131442,0.00017887322715283782,0.001848018805040532,0.9999980517262265,0.00012641748295265444,3.758776058641051e-05,0.00035108100295695244,0.0049517094100345665,0.004878843177400046,0.00513570399298613,0.007266776336125356,0.0013713557609441862,0.015795402150455294
92,-0.1069384967510559,-0.030417113462037834,-0.30942042006924964,-0.00013199507305772498,-4.184607838065539e-05,-0.000448785724539759,0.9999998897087838,-0.0009339276012398,-0.0002629184385849523,-0.0027004457103338886,0.9999958831145737,-0.0005528239937731268,-0.00016101542490964206,-0.0016253255968268938,0.0017864617832371705,0.0021409127427199953,0.0008201192167257479,-0.0151233677453602,-0.004801994955516077,-0.05142642431359512
94,-0.1731307216358411,-0.047399416433698445,-0.48740916823960034,4.6428803245297e-05,8.201174901675582e-06,5.763282887387571e-05,0.999999997227782,-0.0015125955732722659,-0.00040720741350510915,-0.0042540542904170656,0.9999897245766318,0.000753429617855935,0.0002093329786360536,0.002201895039742805,-0.0006781127487585265,-0.0012857460849758865,0.0009440221142534834,0.005320403103701908,0.0009394787885056196,0.006604279342061727
96,-0.015072740507525018,-0.00010374640817427111,-0.031919144368026814,0.0008996189227496226,0.0002488186143896689,0.0024809896819302964,0.999996486726473,-0.00013153472128027665,-8.68719618451806e-07,-0.0002785471948948099,0.9999999525546601,0.0007924583373546286,0.00021563914449246113,0.0022048295781682105,0.0021829782456333113,0.0015653753922182888,0.003701180205655011,0.1031591802387678,0.028256651823228826,0.2843263286827877
98,0.21479602627544186,0.056792667726638484,0.5895541200882354,0.0012686959557735903,0.0003435896454191682,0.0034879104049286886,0.9999930533947395,0.0018718729928678824,0.0005052457435011936,0.0051438689084820285,0.9999848906012979,-8.369328681684604e-05,-4.207864946619403e-05,-0.00026901270967133906,-0.0017765140904391216,-0.00171000330830851,-0.0020188807511315673,0.14551835517208847,0.03886512375067197,0.39973560105605255
100,0.016588117629667623,0.007676686556388524,0.05518652596585027,0.0005910427285715012,0.00015420186646585428,0.001598803882102246,0.9999985353571393,0.00014472635429029886,6.706143428959444e-05,0.00048158356804806323,0.9999998713171484,-0.0012663000423886047,-0.0003409517717648654,-0.0034899966215459206,-0.0019387367303409357,-0.0010314936076877726,-0.00411913257149314,0.06775667873169088,0.01756192207641019,0.1832199258234895
102,0.2538746354300736,0.05879444118935684,0.664521217587249,0.00015637948902737413,2.7226810700786264e-05,0.00036610055953478174,0.999999920387265,0.0022124594437282832,0.000525915924019655,0.005797857409047755,0.9999806064545027,0.0004838208959902475,0.00011401229700970605,0.001254826751815468,-0.002271471784809242,-0.002559370477493431,-0.0016873679815136225,0.017920910559465084,0.0031134020010353623,0.04195252224630791
