Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real,usx,usy,usz
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461,13.0,15.0,9.3
2,27.863247031766686,29.62507580276736,26.689707398213116,0.16891249510591969,0.2951724404238444,0.15611763398919234,0.9273451804850993,0.1692048047236115,0.29516105215506033,0.15668609154668897,0.9271996311825113,-0.01645712018350906,-0.022357714423839346,-0.04204652420748084,-0.016041399470879306,-0.021923416266637793,-0.04163066682022196,27.809490696845003,29.650829777329132,26.610220005315135,5.6,12.0,0.52
4,22.84614791059993,27.55325203843726,19.899982250089565,0.1490523425416963,0.26314717540044935,0.11788610964775229,0.9458540206679443,0.14912889735775908,0.26314587643056864,0.11803927562575446,0.945823212392355,-0.023574841043808213,-0.041669986941682655,-0.03473557103879642,-0.02344947293242565,-0.0418973342600018,-0.03460255747361833,22.832175890613758,27.558577560047038,19.878831887187083,1.1,2.7,-0.97
6,17.867671862003192,23.5811385571945,14.3074512865869,0.12513877623652336,0.2191954048165413,0.08766667705770986,0.9636431989709662,0.12569637983647974,0.2192156800850165,0.08894058922677338,0.9634492603603272,-0.0243353118621514,-0.046217378920169604,-0.02574307987545684,-0.02498610004962893,-0.046614269173078475,-0.02644465659306125,17.7674564482528,23.61014750211285,14.138431643522487,-0.89,-1.9,-1.2
8,13.542815730098082,19.129492066338546,9.9652650075064,0.10107597105550162,0.17443696501819064,0.06444745903140668,0.977344319231879,0.10149882501189014,0.1744778612315958,0.06553107324100056,0.9772211330610571,-0.023455294042707023,-0.04330047258776686,-0.020240455907892547,-0.024034316080515233,-0.043797160937923,-0.02088864404599663,13.470108688017282,19.143897110567003,9.827139109752903,-2.3,-3.9,-1.5
10,10.055139746395751,14.910598802915622,6.797795120870819,0.0789458295873796,0.1341571753629414,0.046834884815469595,0.9866994992669851,0.0790783335615627,0.1341778031184745,0.04720892189753854,0.9866682583344305,-0.020754717532903394,-0.0372428890992189,-0.014875938796773458,-0.0194373445620934,-0.035973544054268794,-0.013548004726518915,10.033641213536672,14.912925737154035,6.751654208242654,-2.8,-4.5,-1.3
12,7.389641917471077,11.261037403594564,4.68005813179705,0.05997030350336551,0.1004202663876465,0.03388526393371735,0.9925578681792264,0.06008009870462785,0.10044588496463372,0.034231073073084234,0.9925367698828992,-0.017269114528863636,-0.030212227741255992,-0.011117166890353986,-0.017137598656633998,-0.030123995074807015,-0.010975270528405348,7.372760656380761,11.261176211166662,4.638435120847247,-2.7,-4.2,-1.2
14,5.324050884880702,8.288859469652655,3.162498997483941,0.044421653081605166,0.07347806597278105,0.02451506777523151,0.9960053724806774,0.04431317778464375,0.07344366190082624,0.02413734905187704,0.9960219672185807,-0.013937751181786234,-0.02366238640715253,-0.007828197558913026,-0.01438770114917468,-0.024188250727104052,-0.008193253586361806,5.3398771540371275,8.290440236842315,3.207199654942543,-2.5,-3.6,-0.92
16,3.770414818381566,5.956041943267004,2.148207888903215,0.03213598310423018,0.052624158048963365,0.01795298948030256,0.9979357027124957,0.0318735826565129,0.052531470223371554,0.017001304113343947,0.997965668258811,-0.0107986737268597,-0.01805070271391998,-0.005677386339347881,-0.01177382305637104,-0.019109649285746814,-0.006521201073956514,3.806549658202243,5.962479865275147,2.259610085849597,-2.1,-3.0,-0.74
18,2.6870993032817956,4.200021372346137,1.686818626181359,0.022753783722387334,0.03692206709867328,0.013335288972650522,0.998970067797575,0.022889689827682868,0.03697475693624321,0.013846703550635333,0.9989580563016043,-0.00807253830653072,-0.013349883272545974,-0.003779257749799175,-0.0074112382214724945,-0.012715119288581846,-0.0031349573513842033,2.669243227335308,4.195577854576589,1.6273873991361159,-1.6,-2.4,-0.45
20,1.8658618475462554,2.909943274646511,1.2974407282707916,0.015705451145043313,0.025449423736824725,0.009799613147513604,0.9995046939449326,0.015988260028483987,0.0255706096388932,0.01090351879837251,0.999485684110468,-0.0060360591241377425,-0.009569574228737136,-0.003220950571459521,-0.00666888495780997,-0.010213603398041,-0.003919928774081565,1.8300511103155528,2.89844427316404,1.1697759992438899,-1.3,-1.8,-0.38
22,1.1970392242314687,1.96399077708571,0.7312045014506919,0.010489572386678398,0.017271700466466606,0.006810201899404189,0.9997726133397687,0.010334849461146536,0.01720357470261396,0.0062006132236554,0.999779365810136,-0.004438300919059465,-0.006774819370544963,-0.002811638524393313,-0.004107947629998472,-0.00648689084801292,-0.0024040258296178564,1.2160324673990532,1.9709437545188087,0.8014753480292082,-1.1,-1.3,-0.42
24,0.7709508234258341,1.3081308944026755,0.4977289434270781,0.006804883060776187,0.011501532667562264,0.004770610375228455,0.9998993197264783,0.006677681209808814,0.011444201691550204,0.00426631041685228,0.9999031140149183,-0.0030179305201227195,-0.00477392477307162,-0.0014935242801817667,-0.0021656282996309804,-0.003957583454736144,-0.0005793949979139404,0.786222703947713,1.3142410719594173,0.5557402363671112,-0.75,-0.97,-0.23
26,0.4749857625900324,0.8465580673582297,0.3336362348776993,0.004305200594874864,0.007485898154684233,0.003613392624573038,0.9999561840252783,0.004123381369007433,0.007399518805489265,0.0028807954254364797,0.9999599721315097,-0.0020618987173838103,-0.003266750101549479,-0.001035634646213385,-0.0024389089333750878,-0.0036788366095431963,-0.0013402433836762514,0.4964792987083434,0.8560323712080836,0.4177895727131579,-0.54,-0.69,-0.16
28,0.31954079655807854,0.5523178602223959,0.393152564932926,0.002629499129023198,0.004761941573349938,0.0028465824226748806,0.9999811531300444,0.0027719306906784985,0.0048293838192245446,0.003417403250591755,0.9999786571758398,-0.0013379245836980084,-0.002178795797259283,-0.0005973592881211742,-0.00014681881934654922,-0.0010033873129268972,0.000572276408617829,0.30288114757603873,0.5448185071423871,0.3276396284276486,-0.35,-0.47,-0.04
30,0.2037730782677819,0.35012938632792484,0.3567270700405612,0.0015228208865740228,0.002945978630273512,0.0021315085410073104,0.9999922294187075,0.0017687260352670544,0.003060966636398772,0.003107573127530503,0.9999889224790043,-0.0008806541268879955,-0.0014332196429789699,-0.0007712437554576988,-0.0005673269187768924,-0.0011293372058471917,-0.000503228459758442,0.17522393518797327,0.3372116542283104,0.24477005294270296,-0.23,-0.32,-0.056
32,0.10993933107483428,0.20955909496094646,0.2292034536564036,0.0007860531543206049,0.0017521926445133458,0.0013312194480504483,0.9999972698943513,0.0009557401671997218,0.0018306615419666015,0.0019984173636063258,0.9999958707750211,-0.0005949742705483334,-0.0009350088657084947,-0.0007634866209100521,0.00012670474521854307,-0.000225319804656457,-6.44466069157311e-05,0.09034269290076692,0.20066643924376795,0.15270504166741217,-0.17,-0.22,-0.081
34,0.061072401850490884,0.12383551483553491,0.1804415985042337,0.0003033881689879942,0.0009786871073353524,0.0006910596810883553,0.9999992362815493,0.0005312545762765547,0.001081506249053107,0.0015740722575136833,0.9999980352027379,-0.00037399181635888664,-0.0005952586338622654,-0.0004646104612272748,-0.0005661984717761805,-0.0007958422073509786,-0.0006900435381032773,0.03484326743660354,0.11212524215537814,0.07922374746765216,-0.11,-0.15,-0.038
