Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real,usx,usy,usz
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461,14.0,11.0,12.0
2,27.848045755373473,30.2045004445438,25.950994924503767,0.16808115762452416,0.29865608728395526,0.14634605522356509,0.9279741904279125,0.1696102250311167,0.29859413332343365,0.14931477519538167,0.9272426936989441,-0.01804395229158316,-0.015454181387599375,-0.06150875965089346,-0.017097125217025538,-0.014409658221681143,-0.06056029066223484,27.563300886544408,30.337609278468467,25.5330243678195,11.0,9.8,3.9
4,21.31282653167542,29.9722856978582,15.287218453122467,0.14273445477450997,0.27563900841650135,0.07793452791884714,0.9474049935573793,0.14324099154201966,0.2756274584926253,0.07887846759026193,0.9472537726594534,-0.03413632625816357,-0.030432873000643262,-0.07682126472824533,-0.03304585123526984,-0.03108783755002061,-0.07570548029197956,21.217716692233697,30.0023593596569,15.152041102981523,7.9,7.9,-2.3
6,14.29461571228864,27.11643960316319,6.01859659074919,0.10495145290603444,0.23848843897168748,0.01383513575669942,0.9653585064774401,0.10857500684481212,0.23864069282241632,0.021510298585488054,0.964779453902626,-0.0408121626325077,-0.04384588187865906,-0.050648032206964066,-0.04398061670697296,-0.044651278461368835,-0.05394785046029129,13.609677543360522,27.229103661876422,4.953019550477548,4.6,5.5,-3.5
8,7.156456467490467,22.058785757613755,-0.6489993087967086,0.05889996339058518,0.19008687407943217,-0.02564951622019894,0.9796631446231748,0.06233890246705788,0.1905895834770319,-0.01748797810083706,0.9795323591036689,-0.047902350601444106,-0.0530279710716353,-0.024206630768337314,-0.05027010216255984,-0.0542722981494884,-0.02716493824606359,6.545548328211719,22.052976505754902,-1.722745558831736,0.33,3.1,-3.5
10,0.7584202425268448,15.50808232074063,-3.974502410781238,0.009652704777522957,0.13414674444935706,-0.039553201180781476,0.9901247499787436,0.011232519751855751,0.13460930913582025,-0.035251721239593976,0.9902077966485859,-0.04933000713578321,-0.058670963714386126,-0.0015019489449397516,-0.04633192704310201,-0.055691030670197664,0.001252613948951538,0.5054533085894859,15.450610260486402,-4.506668159265213,-3.8,0.6,-2.5
12,-4.468598839041042,8.45675948744149,-3.9234301762355988,-0.03710232757346773,0.07455752263280499,-0.03379095446480724,0.9959531939322487,-0.036335036496414445,0.0749638680777098,-0.031239730771022912,0.9960342678979404,-0.044286460052388114,-0.060351884584260815,0.013217018119780979,-0.043875682059700355,-0.060169625362203424,0.01357507075631655,-4.576967666357372,8.39543215832328,-4.222506761923703,-7.0,-1.7,-0.78
14,-8.794073591511706,1.5684578494392822,-2.349754056155634,-0.07639298916225483,0.01523723408233545,-0.01940578722044851,0.9967724681825488,-0.07636435330561855,0.015215641101654543,-0.019392648267587628,0.9967752479888585,-0.034781338699093556,-0.058302210606608264,0.014872462078867697,-0.035733045693808876,-0.059496245125063366,0.014166872217983075,-8.797441449998972,1.570741592847383,-2.3514922661721656,-9.2,-3.8,0.17
16,-12.013083189381838,-4.692992028238905,-0.3778211709695613,-0.10458302432618553,-0.04021352432347394,-0.00693140962103704,0.9936786296609882,-0.1046879498337613,-0.040372909296825354,-0.007560551235415514,0.993656529903332,-0.022187864778632518,-0.05275254509673618,0.008955031742681727,-0.024463675669503148,-0.05522789171556077,0.006962707710293676,-12.003766374200993,-4.667228905348205,-0.3083518221472785,-10.0,-5.4,0.38
18,-13.90226568071119,-10.169558503839896,0.9615257007160776,-0.11971340757401457,-0.08881520663109269,-0.001745760514716401,0.9888263302715596,-0.11980404504074875,-0.08898662522872344,-0.0024294892757175213,0.988798497624332,-0.008597575973181205,-0.04460711257245139,0.0003561655194216426,-0.006806891773342514,-0.0429940365761289,0.0023951059295416427,-13.897964262169879,-10.140559663454829,1.0368178896403608,-10.0,-6.6,-0.13
20,-14.230979530292219,-14.750054768018165,1.209529249997651,-0.12135245742551644,-0.12834969240981656,-0.004163038055688483,0.9842675483064758,-0.12149372163931632,-0.12866429388889758,-0.005512448607405968,0.984202412103654,0.004857831804699371,-0.03461539139600087,-0.006195110581269787,0.0035682797491828257,-0.03604204980657724,-0.007194704210015235,-14.232655566945507,-14.69486556184817,1.3598875064110925,-9.0,-7.3,-0.98
22,-12.958426832997317,-18.133402963630303,0.803849730890845,-0.11030857965227742,-0.15732382003534812,-0.010700187344708184,0.9813086868541269,-0.11033172543617512,-0.15735550686618488,-0.010898831549846931,0.9812988180427055,0.016808792516418383,-0.023435846352579667,-0.007716717718624584,0.01769108054414413,-0.022736317980183215,-0.00671302244932426,-12.959190966144071,-18.127168343884378,0.8264538300519856,-7.0,-7.5,-1.5
24,-10.31444821934636,-20.252799859353946,-0.18177584902283392,-0.08874790287969404,-0.17495838074922876,-0.017231363081154697,0.9804164701117734,-0.08876644256966035,-0.17496798490414242,-0.017359562770003886,0.9804108161952035,0.0259214904618035,-0.011865821582286117,-0.0059567180984604964,0.02805998277632754,-0.009901351636646094,-0.0037248513988403426,-10.314894163310333,-20.250341612558348,-0.16693339056512974,-4.5,-7.3,-1.7
26,-6.743552116957527,-20.99302840842531,-1.2817337034544083,-0.059836868123936265,-0.1810881795129348,-0.021102291812400885,0.9814180117228714,-0.05986091930521901,-0.18120213513456399,-0.021692722317222378,0.9813826380984519,0.0315450839310332,-0.0004295086527388959,-0.002365545279254721,0.030709455283542242,-0.0014072272599820114,-0.0030748163863474,-6.7536291355964355,-20.975688980369203,-1.2119206033159378,-1.7,-6.7,-1.7
28,-2.836857874358068,-20.335557497311964,-1.8634298973955445,-0.02725827094600218,-0.17612812118306442,-0.02084499104633818,0.9837689555692618,-0.027231404174462417,-0.17605761421252225,-0.020369725729591174,0.9837922755227259,0.03327756641086418,0.010326122609254763,0.002410501755980178,0.0362851409890946,0.013169455041030651,0.005421965544691505,-2.829772526714905,-20.34518281866706,-1.919847885984039,1.0,-5.7,-1.1
30,0.9355480861370622,-18.503775097149866,-1.9069456602744554,0.0052141063227345965,-0.16109006817588364,-0.01709812933982985,0.9867778154191666,0.005381500413908151,-0.1608815496603249,-0.01511104691435959,0.9868433627954032,0.03133920736584041,0.019760278151563216,0.004883183219853303,0.03225750084521999,0.0205068940578724,0.005665384704593582,0.9547353053526423,-18.526419899497515,-2.1410739872181783,3.4,-4.5,-0.53
32,4.214393022795051,-15.73226414262237,-1.7091159103056468,0.03412321488727556,-0.13747388070711625,-0.012044936378710881,0.9898441583586354,0.03437942107774446,-0.13729449414404843,-0.009732330195478476,0.9898856292688843,0.026173757741278194,0.027489431524310787,0.005200526791079388,0.028039490255037745,0.029204545188342906,0.006916278389814251,4.222345681299546,-15.743628019983955,-1.9783818027707725,5.1,-3.0,-0.14
34,6.723559679372239,-12.248665314983572,-1.1519581686906675,0.0567313932310297,-0.10726511562173914,-0.007125565486099021,0.9925849939976045,0.057232218086308996,-0.10708349395394721,-0.003722168540857351,0.9925944509198557,0.018777159561077592,0.032937148706299456,0.004734490734929119,0.018438656495879207,0.032474214456431394,0.00418178890820262,6.707949063429292,-12.247263695403364,-1.5431003848980929,6.2,-1.5,0.22
36,8.274967176839343,-8.304574515107056,-0.8485856029855439,0.07122178854716091,-0.07277758159986157,-0.0031482198318812846,0.994796948710896,0.07142381005759081,-0.07274985961927573,-0.002142484635625904,0.9947871667054311,0.009959253904705158,0.03604019618062118,0.003217263814828486,0.009031659419397303,0.034989030631001554,0.0022610238398295727,8.259998087891557,-8.29960554249335,-0.9629808416462072,6.5,-0.0059,0.17
38,8.818270156624724,-4.164731156741731,-0.30892948463553394,0.07675094622905645,-0.03641576793810883,0.000282439986186182,0.9963850181160275,0.07672927769436005,-0.03643558647287494,0.00010727755146174641,0.9963859967273759,0.0008478026269997487,0.03668465340082856,0.003376028443545876,0.001179581125881815,0.036887757138867466,0.0037529300301505845,8.820022086668512,-4.1640031435574905,-0.2887923726313774,6.0,1.4,0.34
40,8.46164181620596,-0.10318176678265038,0.5259564100173545,0.07358940018299466,-0.0005860730707345315,0.003942526795342764,0.9972806591835274,0.07377798277285402,-0.0005593552000273999,0.004643738289890827,0.9972637224297412,-0.007402472474146976,0.03497483197857889,0.003672220527416197,-0.010364047696069837,0.031910476410867826,0.0007066423054993865,8.44003122591032,-0.1002226904065927,0.44561472904148375,5.0,2.6,0.67
42,7.247839586633498,3.667036025173093,1.044875082914011,0.06291239363123133,0.03251564543083953,0.007193179431030024,0.9974632934095761,0.06288102655511002,0.032506196061700104,0.007072978820085711,0.9974664388778123,-0.014168235430484065,0.031224962821036446,0.0025827326030978827,-0.01701900298157934,0.028262864055038535,-0.00023267909706415103,7.251899868784241,3.6672127646407824,1.0588276533798693,3.5,3.5,0.73
44,5.45293128692352,6.9414823975221625,1.4543252745557855,0.04657178704873414,0.061055192487816275,0.009428176122719534,0.9970027289914316,0.04670934381292526,0.06106800059072347,0.009773954969836763,0.9969921796627419,-0.018717684714881423,0.025849402194807424,0.0016323579205876474,-0.017779826179403196,0.026697605239431266,0.0025874879440747726,5.434629540874021,6.942096818033357,1.413491385366198,1.9,4.2,0.81
46,3.2332284349237286,9.55588092821089,1.5473275926925927,0.026813546449419898,0.08356768372954458,0.010546898681145812,0.9960854576245419,0.026986661660184822,0.08363303646136601,0.011100653959123744,0.9960692801137733,-0.020971323734739367,0.019174064558725088,0.00041103635729983673,-0.02490858995610917,0.015154180000978892,-0.0035189570283966436,3.2076877357895843,9.550422394678883,1.4813189318483762,0.12,4.5,0.78
48,0.6304866111723992,11.323492142899234,0.877286388671707,0.006051793932518405,0.09906619378338853,0.010456721980129684,0.9950074984666701,0.004719740932317538,0.09869290368087799,0.007075444280965987,0.9950815910752223,-0.020831861321401957,0.011788301947141214,-0.001003836628116547,-0.020001532713310784,0.012455027475954233,-4.468968348499828e-05,0.8249249026256582,11.362554663479566,1.2862876504361775,-1.6,4.5,0.37
50,-1.4137881007753763,12.31178677763106,1.0359303656390204,-0.01325466245209807,0.10710824381696021,0.01027419672052854,0.9941059193624567,-0.013235004869835752,0.10711059084695797,0.0103101897604458,0.9941055557442654,-0.018053686617883775,0.004262574841550075,0.00021386627817691515,-0.01632259945187485,0.005918851255744015,0.0019718403030290514,-1.4165349113653078,12.31148550325964,1.0314888860735734,-2.7,4.3,0.71
52,-3.2836133619676775,12.394421719658153,0.7648490372596131,-0.029139354932158627,0.10772812349099732,0.00985363576507172,0.9937044104085759,-0.029203171083273423,0.10771412635642484,0.009725624244772812,0.9937053154809039,-0.01386490239852869,-0.00302482783445981,-0.001257552942012535,-0.009201885191893203,0.001564321779748626,0.0034352342725693864,-3.2745462289231217,12.396407006871371,0.7805385421913441,-3.6,3.7,0.53
54,-4.606357256131762,11.673015264614733,0.4365626776186379,-0.04023312173120573,0.10150315550040687,0.008189469048216927,0.9939875944577631,-0.040365707342742814,0.10145499869653983,0.007873525084391979,0.99398968833331,-0.008472875853577392,-0.009431666887175911,-0.0022827489192162906,-0.011645184184797248,-0.012674825769948671,-0.005420205769539682,-4.5871827967079835,11.679956750027108,0.4746679317534533,-3.9,3.0,0.3
56,-5.181153207298843,10.311070036476607,0.3526021306616474,-0.04575947055222808,0.08942362844290913,0.005904733522751992,0.9949244291165583,-0.04529183850096321,0.08962891153999991,0.007122969607467668,0.9949193790882397,-0.0026798802448744358,-0.01471327629707084,-0.002408230926316984,0.0005914453688253733,-0.011485492469370816,0.0008520944438777936,-5.248009279430596,10.281230783470006,0.20762638511735076,-3.8,2.2,0.24
58,-5.368446406655739,8.290766041381627,-0.28166205551199774,-0.04564957973594631,0.07270266221421581,0.0032776305556042203,0.9963030141050653,-0.046531252974226216,0.07232275516942094,0.0009364709681748297,0.9962948281525296,0.0027541801027246124,-0.01874501885918129,-0.0030795289553781696,0.0033513870598260347,-0.01823385537449274,-0.002381448151951693,-5.2472485266562305,8.346950363991507,-0.006176916797498303,-3.4,1.3,-0.24
60,-4.792874400995493,5.975746422892298,-0.4718472537860135,-0.04033841610124952,0.05273648013019914,0.001342985718248463,0.9977924995906113,-0.04154188766478613,0.05225050342809033,-0.001928944112970699,0.9977677262947356,0.007612762932496993,-0.02126309589091673,-0.0012732676251487366,0.009385261143189709,-0.019582315009520027,0.0006276165103361538,-4.6349392062196975,6.047244146539111,-0.09072108309103213,-2.5,0.35,-0.25
62,-3.647995336912767,3.5130583799243995,-0.30188785535521784,-0.03082743502584333,0.03109403345868879,0.0010031352985357647,0.9990404516597764,-0.03173360925659628,0.030720592360335586,-0.0016562490934983857,0.9990227625472405,0.011167151698980481,-0.022095669618795,0.00011883424787337323,0.011799261297658523,-0.021538657114697015,0.0008556263868996735,-3.5346792472739996,3.5655393159084037,0.0050085736750010625,-1.4,-0.51,-0.099
64,-2.175776330465511,1.0534571885791844,-0.020330822404291467,-0.018596060409829345,0.009384133998409122,0.0013127569982015082,0.9997821768942461,-0.018983656215538706,0.00919472990630228,-2.8409440317807276e-06,0.9997775141153004,0.013119190715725024,-0.021372277702104828,0.00016795876216114974,0.011692467685845071,-0.022852199588184397,-0.0012077215010273309,-2.129943134635794,1.077969325934503,0.1304241639126267,-0.24,-1.2,0.016
66,-0.6152016459420787,-1.2636820077774806,0.09719970411086902,-0.005292290904586606,-0.010986973339130023,0.0010715905789684664,0.9999250620758825,-0.005358939308331476,-0.011031873003296729,0.0007889611774359165,0.9999244756919341,0.01337224976941985,-0.019391636733987125,-0.0008233981785543123,0.011378051389695797,-0.021428100981621862,-0.002812520822060639,-0.6079135814507188,-1.2583713503603078,0.1294804406384133,0.84,-1.8,-0.028
68,0.9558197717510065,-3.273409906459482,0.32870873868808087,0.007458028859787685,-0.028848169705690496,-0.00022398062526871114,0.9995559567842301,0.008419494933988025,-0.028536977796337824,0.0031054857445693214,0.9995524543322366,0.012091241481033188,-0.01631512581678001,-0.0016566215730969198,0.012946228755374992,-0.01547170765576279,-0.0009563601358269331,0.8564451799675667,-3.305931479452298,-0.050393189493200846,1.8,-2.3,0.044
70,2.1230107954617505,-4.937563014480588,-0.3304618530112349,0.018176895746267265,-0.04319954023349594,-0.002893559208021904,0.9988969053409634,0.018384233284940273,-0.04312083779506212,-0.0020826565730855348,0.9988985313113518,0.00932824653837723,-0.012362555683214442,-0.0035137811341046485,0.007493519809349168,-0.014230732263688888,-0.005382577376685264,2.103244054490138,-4.944951563879209,-0.4227702180686985,2.3,-2.5,-0.48
72,2.969505063516159,-6.115281908836313,-0.979576850687435,0.02580223677933526,-0.05343091618199886,-0.005688715855459749,0.9982219293749518,0.025417268295614373,-0.0535418976584169,-0.007151228131365442,0.9982164532824219,0.005840778949317433,-0.008099945569242598,-0.0022003587000989423,0.00762709973552873,-0.006360615635448338,-0.0003397327015567463,3.0047105360173334,-6.1065798984431865,-0.8133421935640665,2.5,-2.6,-0.69
74,3.4343163048671443,-6.781658159992551,-1.1516936969480673,0.029817486473012807,-0.05930402630281461,-0.006417716927334804,0.9977739036846711,0.029317434587977337,-0.059417679487522926,-0.008255881789250274,0.9977684439835625,0.002079769061182673,-0.0036573438573090132,0.00047005119347520805,0.0034467269998696083,-0.0023395607362967784,0.0019230468044150197,3.4792536270299332,-6.774457930925962,-0.9430373765941491,2.5,-2.5,-0.5
76,3.5356555649476373,-6.945845217694027,-0.634429592388576,0.030082118247985287,-0.06079718278983801,-0.005009923230177382,0.9976841531245052,0.030457175421280038,-0.060717546557087186,-0.003654879332481907,0.9976835078633456,-0.0016210452736652853,0.000669416736273047,0.00225370014310135,-0.00011118491161035052,0.0021611332035897765,0.0036968651215610452,3.5019766977503757,-6.950474241210785,-0.7881595830993525,2.2,-2.2,-0.022
78,3.1309419497440496,-6.659734711897324,-0.50670359429397,0.02683561977071222,-0.05820301603767043,-0.003395118039800364,0.9979382403781991,0.02701609067823988,-0.05818278780784694,-0.0028258893123594806,0.9979363248208608,-0.00490789269268881,0.004521934904689857,0.0010304475037848843,-0.00582110630253906,0.003586717353492345,9.170449707536988e-05,3.113977676763473,-6.660372981044646,-0.5710955561656271,1.6,-1.8,-0.087
80,2.455899976991416,-5.953054451290183,-0.19793109976691303,0.020746886530909097,-0.05211904834585012,-0.0026634759145765094,0.9984217933292767,0.021311514954398713,-0.05195179935340363,-0.0006117502439237265,0.998421982748743,-0.007294119878023482,0.007655559270939413,0.00052487835253105,-0.006484046288540194,0.008452931907790609,0.0012424781799531574,2.403297309806357,-5.96742787114841,-0.4309783833729887,0.97,-1.3,0.011
82,1.596470614582129,-4.9294471232335,0.10864384866210734,0.012718400716022963,-0.04334994701181236,-0.002693270561264761,0.998975360392329,0.013959257531416884,-0.04298688632728994,0.0015462360599991073,0.9989769145916753,-0.008734625309552838,0.00991517798418268,-0.0002848195602622399,-0.008016084319515206,0.010641167561928457,0.0002537553771661499,1.4750032479704918,-4.964733369316947,-0.372890631206221,0.26,-0.85,0.075
84,0.34224791193842596,-3.783525865641542,-0.8040922855915142,0.0037341818441450404,-0.032739172441494935,-0.0037474239459429487,0.9994499283543775,0.0027533310428484005,-0.03303147916266194,-0.006914523552009482,0.9994266005648158,-0.009286529382421917,0.011301869780676198,-0.001840348680077404,-0.01116669525363755,0.009364906763843772,-0.003577056169278162,0.44268183500527525,-3.750643706950899,-0.44415194652704215,-0.66,-0.38,-0.64
86,-0.5475141940893773,-2.421425665151597,-0.33902523611704666,-0.005033847292655982,-0.02116949983821604,-0.0036378578438776097,0.999756609704753,-0.004839368445766877,-0.021114886431549993,-0.003058809167996464,0.9997606642444494,-0.008349812354424235,0.01181572103254094,0.001832274631961976,-0.007137382689438181,0.013009899226535004,0.003027947642795622,-0.5683907529749276,-2.428080709545529,-0.40492191387558385,-1.2,0.099,-0.024
88,-1.4435227997796323,-1.0932407332485756,-0.22658794749252115,-0.01252210759893279,-0.009488285444567483,-0.0018360434828393042,0.9998748912763699,-0.012615044585364837,-0.009514497713156784,-0.0020972800246113464,0.9998729601303727,-0.006674737591710157,0.011543204889088051,0.0017241089526197227,-0.005053400207833985,0.01313820316134376,0.0033615378618989176,-1.4331606957826881,-1.0898417018175703,-0.19678974411382558,-1.6,0.51,0.03
90,-1.9992376266756167,0.20427143283856922,0.16444655376565123,-0.018020824267711053,0.0015716141817279836,-0.00013653812923711172,0.9998363672516195,-0.017448266570565016,0.0017572946873054907,0.001465944562684108,0.9998451484683033,-0.004345837308377352,0.010583822795544297,0.0016882677081284918,0.0004938435445527295,0.015419324479027437,0.006475791055396179,-2.0651783391862684,0.17978258913133627,-0.018889087476330498,-1.8,0.85,0.26
92,-2.507643802980922,1.2706688129350017,-0.17795288129782721,-0.021071335827435724,0.011377124280959501,0.0008312156807560599,0.9997128932498746,-0.021862986764438534,0.011119760215801648,-0.0013098315082804202,0.9996982770235733,-0.0018188153885714136,0.00901352075886491,0.00015482075081661774,0.0005341209987633687,0.011319347222994453,0.002589397786428506,-2.4141610088286085,1.3054681034015123,0.0677693870921078,-1.9,1.1,-0.072
94,-2.6474872638990425,2.1603906113318416,-0.34538873525635655,-0.021439032293700446,0.01941385756674812,0.0015894422932474367,0.9995803838120695,-0.02304061332454155,0.01891634888223747,-0.002577234437546178,0.9995522296234691,0.0008955226722428769,0.00699210631234474,0.000950541564395003,-0.0005180125583789393,0.005506529862200119,-0.0003205365828072242,-2.4547716767485674,2.228197139796522,0.13446738879875428,-1.7,1.2,-0.078
96,-2.323641770195117,2.8742668364126587,0.013849734773450285,-0.01918435083331892,0.02537679235945537,0.0033307975475736586,0.9994883115276267,-0.020272862638533805,0.025072473841352017,0.0006293278466044903,0.9994798577472062,0.0034199777181293848,0.004864331190289783,0.0021128453477382123,0.004825860532632218,0.006218901983163224,0.0036027037044232685,-2.1909221421053124,2.915057979045667,0.3261222904082301,-1.3,1.3,0.25
98,-1.5848020248995462,3.37499848828342,0.7521053694581352,-0.014713422867002503,0.029153365733813233,0.005218557812817514,0.9994530319671263,-0.01401652922110607,0.029353981261391274,0.006967083036167174,0.9994465170516464,0.0054786208994921405,0.002676888977018935,0.0015967151034384413,0.0037843048434914595,0.001001772599780936,-0.00015786350366575616,-1.6707687760297287,3.349608730499981,0.5494691397813533,-0.57,1.3,0.62
100,-1.0527745823637333,3.5166910060266634,0.4410657987006728,-0.008801788750846713,0.030753867078320552,0.00527998042919738,0.9994742868034083,-0.009300766822639321,0.03064723474788397,0.004128935619750709,0.9994784613134327,0.006339542596624147,0.0005270739126383198,-0.0014496131869838093,0.005679017956895708,-0.00016362661196276694,-0.002078273748095394,-0.9914032968269056,3.5298388060777084,0.5748045342052369,-0.13,1.2,0.13
102,0.04910741029008554,3.536017911294257,1.1231737136190683,-0.002275987752374538,0.030294094492032922,0.0039728472254448284,0.9995305419063402,0.0001259194948115578,0.030855394149263634,0.00978349476488281,0.999475968708783,0.006809970981607384,-0.001413240173612321,-0.0009160493467083033,0.004031700884690454,-0.00409665649051079,-0.0038759724702917948,-0.24735004632895105,3.4729803022197716,0.4479673201912295,0.65,1.0,0.56
104,0.439706342200194,3.211006218376666,0.1281785601298975,0.003994583490545785,0.028069457182747795,0.0014954039319779258,0.9995968750667857,0.0038043041001743485,0.028021715164523238,0.0010106134525599718,0.9995995645307181,0.005842497644160694,-0.0029989253764896007,-0.0037679924257413523,0.00485495876594597,-0.004009610758611174,-0.004732698870764977,0.4631054888761625,3.2162304780389843,0.1844310705895187,0.85,0.81,-0.3
106,0.7535536218003593,2.744526834402605,-0.7942622102529252,0.00929837607179138,0.024411939847741856,-0.0008828813947863314,0.9996583505957125,0.00673989070960753,0.023901565996629532,-0.007086530674156829,0.9996664794315829,0.004572826591646667,-0.004353538320634872,-0.0014023281091002245,0.002797574254172387,-0.0062577630065748175,-0.0029783249731139055,1.0640116090555196,2.79849980938996,-0.07521461374652534,0.95,0.56,-0.61
108,1.2693168027695696,2.207245502716675,-0.5665611824182669,0.013385465605049725,0.019634428083798037,0.00028211046175373894,0.9997175795983811,0.011169684014764324,0.019204488078364078,-0.005156279483261456,0.9997398854594873,0.0032994863068738787,-0.0052650351830591776,0.0030655809800676477,0.0008223793493981707,-0.007847030377659306,0.0007544991966559809,1.5354297209275403,2.2494494056486762,0.06248299942229948,1.2,0.32,-0.043
110,1.9245382461362044,1.6319165976013852,0.6956041624402286,0.015993295009946146,0.014197793525327766,0.004045248126040649,0.9997631085118793,0.016705530271665943,0.014340340180509168,0.005829629468282023,0.9997406140205128,0.00182183773518073,-0.0056291292087768865,0.004277308481420942,0.00479900859102569,-0.002619708189291986,0.007177688883315283,1.8398947511765982,1.6193637577285889,0.48966324535038697,1.5,0.11,0.81
