Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real,usx,usy,usz
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461,13.0,15.0,9.3
2,28.07237562276998,29.52394988308796,27.001321927567258,0.16891249510591969,0.2951724404238444,0.15611763398919234,0.9273451804850993,0.17033897067503306,0.29511798723659755,0.15891936093073472,0.9266254072710054,-0.01638733955424574,-0.022360414887729673,-0.041976592497867365,-0.015434451689352018,-0.021316468485110505,-0.04102371903869468,27.809490696845003,29.650829777329132,26.610220005315135,5.7,12.0,0.61
4,22.889341929990874,27.53944699126521,19.952480274620434,0.1489838066375476,0.26315773412415583,0.1176209231154986,0.9458948941483318,0.14939028519596212,0.26314684644070735,0.11840108655875385,0.9457364657234522,-0.024948731251875876,-0.04156119489121963,-0.036569687705796584,-0.023872500033920246,-0.04216219609891197,-0.0354188862586111,22.816266445272227,27.56741021168212,19.844422325649898,0.63,2.7,-1.3
6,18.216861820182377,23.476154089969675,14.887074479187547,0.1252568919615856,0.21918357043150702,0.08783247147981543,0.9636154473765806,0.1276638840222302,0.21925920217278405,0.09330702989382476,0.9627674346130044,-0.022791116002164553,-0.04631274384977826,-0.023221315195006562,-0.025041799538865345,-0.047246136420918426,-0.02561839398848818,17.785732178191246,23.604068655293254,14.161200565013761,-0.16,-2.0,-0.62
8,13.864264475227387,19.076211409009314,10.53542981725433,0.10119839730666368,0.17451439554649353,0.06426547463376461,0.9773298107085967,0.10342041915599505,0.174725107278745,0.06996354029996704,0.9766680381873486,-0.023397897739631402,-0.04304532271139763,-0.021436590690710012,-0.025222936943189465,-0.044239862706985024,-0.023663411972639554,13.482356250018377,19.154046665224808,9.809332008426727,-2.1,-3.8,-1.5
10,10.119854761231945,14.947478822261994,6.8687072266891676,0.07843074799577396,0.13440465021070688,0.044626508346902204,0.9868092432295742,0.07952974980781172,0.1345707735855391,0.04771308693266553,0.9865541987784819,-0.02151618555727488,-0.03711051340461097,-0.016699684548240945,-0.018419881501566062,-0.03408689019791313,-0.013722160055892626,9.941667918287193,14.967038703999908,6.487815396347366,-3.0,-4.4,-1.6
12,7.309560938321075,11.316420797890595,4.513520983221559,0.058821385312332324,0.1006513387685515,0.030650387047107003,0.9927083692645585,0.059510414145005165,0.10081502364237166,0.032826195964646164,0.9925811213572262,-0.01787176019994402,-0.030304228301267676,-0.011281032211786137,-0.017496395713288718,-0.030117029761083648,-0.010927772283562285,7.203442644952341,11.316530585017011,4.251582868394022,-3.0,-4.2,-1.2
14,5.117297701437864,8.316904011915161,2.716911230427549,0.042988589847774754,0.07356683421553065,0.02116016182273184,0.9961386196699937,0.042794543193078634,0.07347787681863523,0.02038501135837524,0.9961697044194027,-0.014273338608607382,-0.02380713683480516,-0.008447783404336858,-0.015196606050191677,-0.025079239076588024,-0.009080221281905693,5.146535126013577,8.322584693499435,2.808502274435287,-2.7,-3.7,-1.2
16,3.485874533182396,5.945113441947633,1.485319012700683,0.030759963824079268,0.052612080022898335,0.015242755491885267,0.9980247752767564,0.02969998557322979,0.05222298205298577,0.011360929176988343,0.9981290499182354,-0.010974149027352406,-0.01811431584100257,-0.0050252538454029945,-0.013077301522634609,-0.02064675267400241,-0.006571362959164161,3.6319101106967056,5.974082534062326,1.939591959196337,-2.3,-3.1,-0.85
18,2.5554023312705554,4.203065600880607,1.5450847280840974,0.021699586719028535,0.036931016780573464,0.012341938548867589,0.999005958184751,0.02178691628350082,0.03695843801165399,0.012652968552341654,0.9989991524147595,-0.007785356773204521,-0.01325131840405903,-0.002089964741619408,-0.006053256043758799,-0.011725076391257232,-0.00024017188101751007,2.5440169374025468,4.20084937390292,1.5089362763337837,-1.6,-2.3,-0.22
