f_costo
[12.98800437]
4143137.1950016543
[4140657.40286087]
[4136449.13199524]
[11.91241659]
10191107.999999998
[3766673.27664854]
[3766674.09579168]
[11.94132564]
10169704.0
[3761135.79811287]
[3761136.10560362]
[1.91317709]
3716.0000000000005
[3718.17000554]
[3718.2386644]
[4.44775573]
4840.000000000001
[2135.87384094]
[2136.21468779]
[4.44608387]
4840.000000000001
[2870.12751007]
[2264.61818271]
