f_costo
[39615.04088338]
[39615.04088341]
[39615.04106366]
[39615.04102551]
[155464.18823587]
[155464.18783556]
[155463.69371735]
[155464.18823587]
[125496.00966006]
[125496.00966002]
[125495.99207022]
[125496.00966006]
[86796.01374154]
[86796.01374156]
[86796.02162427]
[86796.01377689]
[62951.88423989]
[62951.88423993]
[62951.87414203]
[62951.88430156]
[72475.59492282]
[72475.59492285]
[72475.61211955]
[72475.5949716]
[66515.32247448]
[66515.32247451]
[66515.36737394]
[66515.32253125]
[64954.6418177]
[64954.64181774]
[64954.65534574]
[64954.64187734]
[63494.43539886]
[63494.4353989]
[63494.4250549]
[63494.43546045]
[66141.64919778]
[66141.64919782]
[66142.12770896]
[66141.64925512]
[64508.89217462]
[64508.89217479]
[64509.39695275]
[64508.89223464]
[63727.65245157]
[63727.65245161]
[63727.63976367]
[63727.65251275]
[63543.82321747]
[63543.8232175]
[63543.81572067]
[63543.82327654]
[63604.27871265]
[63604.27871268]
[63604.30117918]
[63604.27877975]
[63561.75683485]
[63561.75683488]
[63561.7485485]
[63561.7568963]
[63590.07122241]
[63590.07122245]
[63590.09463321]
[63590.07128364]
[63599.46982801]
[63599.46982804]
[63599.49231328]
[63599.4698895]
[63604.27871265]
[63604.27871268]
[63604.30117918]
[63604.27877975]
[63496.23804062]
[63496.23804066]
[63495.72836544]
[63496.23810249]
[63576.57292588]
[63576.57292591]
[63576.59193033]
[63576.57298736]
[63595.10721353]
[63595.10721356]
[63595.12698672]
[63595.10727544]
[63601.36823517]
[63601.36823521]
[63601.38978889]
[63601.3682966]
[63603.25691217]
[63603.2569122]
[63603.27909556]
[63603.25697359]
[63603.99295553]
[63603.99295556]
[63604.01535067]
[63603.99301694]
[63604.15676018]
[63604.15676021]
[63604.1792263]
[63604.15682078]
[63604.23474946]
[63604.2347495]
[63604.2572088]
[63604.2348109]
[63604.2642294]
[63604.26422943]
[63604.28670084]
[63604.26429077]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.77370615]
[63604.77370619]
[63604.29552475]
[63604.77376853]
[63604.27401586]
[63604.2740159]
[63604.29644884]
[63604.27407726]
[63604.27398655]
[63604.27398659]
[63604.29644884]
[63604.27404801]
[63604.27398288]
[63604.27398291]
[63604.29644884]
[63604.27404423]
[63604.27398167]
[63604.27398248]
[63604.29644884]
[63604.27404402]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404402]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
[63604.27398166]
[63604.27398247]
[63604.29644884]
[63604.27404401]
