254.81301136,254.35004222,254.33081900,254.32248457,254.31896883,254.31669806,254.31681369,254.31599308,254.31507153,254.31465160,254.31431029,254.31388005,254.31213914,254.31198458,254.31169024,254.31155826,254.31149707,254.31145469,254.31135894,254.31149327
9.84880818,9.38592458,9.36854646,9.36161422,9.35794238,9.35559504,9.35389557,9.35325440,9.35230396,9.35201473,9.34969602,9.34926967,9.34885101,9.35060877,9.35033421,9.35010674,9.35001668,9.35001799,9.34986381,9.34958859
5.29377984,4.83057554,4.81163062,4.80458942,4.80096155,4.80040435,4.79911968,4.79828706,4.79584088,4.79540459,4.79497332,4.79485401,4.79641679,4.79617989,4.79604623,4.79437883,4.79381206,4.79386101,4.79368725,4.79349979
4.26041973,3.79745834,3.77838670,3.77346551,3.76970412,3.76731453,3.76450690,3.76340491,3.76241793,3.76192586,3.76129705,3.76082865,3.76048489,3.76009742,3.75997878,3.76203230,3.76177504,3.75962320,3.75967050,3.75967044
3.99405570,3.53107645,3.51114177,3.50451329,3.50093573,3.50075486,3.49934550,3.49817083,3.49766602,3.49692795,3.49624598,3.49548962,3.49527744,3.49336388,3.49326186,3.49298563,3.49282857,3.49482518,3.49497665,3.49622746
4.00296689,3.53799318,3.51888448,3.51193762,3.50842481,3.50626637,3.50477385,3.50367563,3.50290974,3.50435549,3.50373924,3.50172815,3.50130931,3.50119751,3.50096028,3.50100281,3.50030188,3.50020410,3.50009158,3.50239241
4.12801160,3.66520224,3.64609463,3.63922475,3.63590527,3.63350802,3.63216258,3.62919027,3.62835352,3.62768260,3.62729053,3.62691504,3.62671326,3.62885078,3.62844868,3.62862860,3.62849695,3.62684099,3.62735421,3.62728714
4.31081795,3.85063884,3.83117261,3.82436821,3.82082097,3.81657569,3.81534921,3.81448534,3.81354149,3.81281339,3.81239732,3.81182431,3.81163821,3.81142764,3.81109589,3.81089888,3.81129796,3.81124969,3.81115237,3.81101496
4.53185578,4.06732313,4.04808917,4.04129394,4.03769911,4.03977679,4.03576543,4.03426234,4.03597363,4.03501723,4.03472891,4.03402903,4.03357488,4.03346320,4.03334441,4.03320319,4.03292641,4.03303671,4.03243688,4.03459049
4.77309834,4.31016013,4.29084027,4.28324558,4.27965382,4.27516567,4.27370253,4.27564966,4.27490741,4.27429874,4.27379427,4.27344379,4.27304887,4.27276363,4.27065635,4.27028916,4.27027748,4.27002780,4.26993568,4.26999828
5.02129897,4.55866445,4.53922801,4.53246166,4.53168163,4.52931880,4.52793521,4.52706814,4.52652438,4.52588252,4.52531683,4.52362295,4.52299209,4.52238251,4.52228412,4.52189195,4.52190883,4.52291722,4.52293487,4.52536022
5.28224888,4.82002760,4.80079385,4.79707903,4.79339607,4.79118336,4.78966474,4.78863352,4.78774606,4.78668577,4.78602161,4.78591152,4.78518789,4.78445169,4.78443381,4.78688974,4.78662141,4.78627916,4.78596736,4.78480528
5.54731772,5.08429530,5.06530901,5.05850175,5.05790734,5.05553678,5.05363004,5.05168351,5.05087970,5.04994169,5.04967731,5.04932598,5.04878208,5.04826009,5.04799375,5.04698988,5.04961087,5.04950364,5.04923667,5.04928833
5.81583662,5.35282226,5.33295336,5.32893207,5.32508853,5.32295901,5.32148243,5.32057767,5.31974034,5.31898501,5.31833705,5.31709796,5.31680440,5.31683344,5.31674448,5.31658661,5.31638663,5.31620450,5.31893816,5.31959993
6.08635919,5.62422290,5.60821828,5.60150269,5.59809483,5.59602573,5.59454042,5.59342660,5.59278308,5.59209917,5.59148071,5.59123344,5.59100524,5.59047134,5.59016278,5.58982344,5.59000093,5.58926344,5.58931093,5.58910897
6.36054325,5.89773619,5.87877563,5.87188047,5.86846773,5.86767338,5.86634266,5.86520772,5.86440416,5.86371452,5.86299890,5.86226101,5.86180836,5.86000564,5.85961027,5.85956597,5.85922542,5.85900995,5.85915991,5.86231218
6.63324863,6.17032257,6.15107877,6.14287290,6.14277308,6.13757412,6.13949782,6.13834282,6.13716344,6.13642995,6.13600355,6.13548402,6.13444048,6.13407244,6.13403925,6.13392268,6.13374519,6.13333059,6.13338054,6.13376857
6.90689897,6.44410650,6.42505318,6.41842700,6.41459521,6.41216518,6.41377646,6.41214152,6.41138918,6.41054905,6.40996962,6.40938650,6.40884719,6.40865691,6.40855201,6.40785925,6.40763960,6.40761265,6.40778250,6.40798004
7.18277301,6.71761432,6.69827915,6.69153829,6.68824988,6.68607785,6.68764337,6.68642702,6.68565213,6.68518366,6.68480846,6.68356462,6.68347853,6.68410659,6.68374916,6.68342220,6.68324446,6.68300326,6.68330853,6.68344702
7.45616222,6.99327936,6.97423855,6.96694049,6.96326239,6.96104800,6.95963067,6.95875262,6.95552899,6.95478432,6.95444097,6.95399925,6.95360722,6.95383012,6.95357507,6.95378093,6.95713506,6.95470975,6.95508853,6.95513475
