% # columns="iteration, evaluation, void, void, void, xmean", seed=887382, Thu Feb  6 02:34:34 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 0.500000000118031 -4.272108936039295e-10 5.00000000000141
2 14 0 0 0 0.50000000014691 -2.1028191689010754e-10 5.000000000160516
3 21 0 0 0 0.5000000001067791 1.0098487191630741e-10 5.000000000467915
4 28 0 0 0 0.4999999998933196 5.747186392782183e-10 5.000000001096475
5 35 0 0 0 0.5000000001029383 6.900067898142489e-10 5.000000000940277
6 42 0 0 0 0.500000000311456 8.013310001397402e-10 5.000000000775488
7 49 0 0 0 0.5000000004806925 8.939953817017257e-10 5.000000000626834
8 56 0 0 0 0.5000000006128459 9.707160930305223e-10 5.00000000049384
9 63 0 0 0 0.5000000007159251 1.0353150065561096e-09 5.000000000372396
10 70 0 0 0 0.5000000007955948 1.0898863406272232e-09 5.0000000002600355
11 77 0 0 0 0.5000000006889465 1.1088112065873163e-09 5.000000000290848
12 84 0 0 0 0.5000000007453276 1.1760293387708812e-09 5.0000000001655796
13 91 0 0 0 0.5000000007364884 1.2437181234041014e-09 5.000000000047374
14 98 0 0 0 0.5000000006571089 1.2852936872820767e-09 4.999999999966222
15 105 0 0 0 0.5000000009249053 1.5530968711059118e-09 4.999999999985911
16 112 0 0 0 0.500000001266566 1.971479052436587e-09 5.000000000304256
17 119 0 0 0 0.5000000017991763 2.6995898123412325e-09 5.0000000010133085
18 126 0 0 0 0.5000000028360448 3.980646601220239e-09 5.00000000259692
19 133 0 0 0 0.5000000035510156 4.617061026005081e-09 5.000000003918583
20 140 0 0 0 0.5000000037994635 4.493423135373284e-09 5.000000004780702
21 147 0 0 0 0.5000000036275147 4.381271346672665e-09 5.000000005325519
22 154 0 0 0 0.5000000036241846 4.362363994679658e-09 5.000000005745289
23 161 0 0 0 0.5000000036453162 4.417877304461322e-09 5.000000006176667
24 168 0 0 0 0.5000000036744413 4.404204541049786e-09 5.0000000064188725
25 175 0 0 0 0.5000000039329642 4.492912924897185e-09 5.000000006817079
26 182 0 0 0 0.5000000039310792 4.455807495005242e-09 5.000000006952968
27 189 0 0 0 0.5000000039545842 4.474164166698975e-09 5.000000007113569
28 196 0 0 0 0.5000000039818921 4.467282842391895e-09 5.00000000718625
29 203 0 0 0 0.5000000041010916 4.493133959683342e-09 5.000000007323696
30 210 0 0 0 0.5000000041123784 4.478698731499681e-09 5.000000007354798
31 217 0 0 0 0.5000000040989108 4.495689175536064e-09 5.000000007251399
32 224 0 0 0 0.5000000041022495 4.487330678106861e-09 5.000000007273889
33 231 0 0 0 0.5000000041203022 4.495298140114113e-09 5.000000007244876
34 238 0 0 0 0.5000000041193597 4.491391945066982e-09 5.000000007258069
35 245 0 0 0 0.5000000041136186 4.494414255095461e-09 5.000000007240405
36 252 0 0 0 0.5000000041075845 4.4947592847777534e-09 5.000000007231363
37 259 0 0 0 0.5000000041052259 4.4936631454786164e-09 5.000000007237768
38 266 0 0 0 0.5000000041159323 4.493149034559424e-09 5.000000007231941
39 273 0 0 0 0.5000000041592685 4.4951519789025785e-09 5.000000007259774
40 280 0 0 0 0.5000000042007653 4.493979390838338e-09 5.000000007284113
41 287 0 0 0 0.5000000042058944 4.492792567143912e-09 5.000000007290288
42 294 0 0 0 0.500000004216634 4.493925068238405e-09 5.000000007303541
43 301 0 0 0 0.5000000042192299 4.4950827159802086e-09 5.000000007310784
44 308 0 0 0 0.5000000042296363 4.494635334862234e-09 5.000000007319049
45 315 0 0 0 0.500000004247605 4.495180994902844e-09 5.000000007323325
46 322 0 0 0 0.5000000042489147 4.49404122857873e-09 5.000000007330114
47 329 0 0 0 0.5000000042609946 4.49458647542541e-09 5.000000007332714
48 336 0 0 0 0.5000000042594227 4.493956370685062e-09 5.000000007339152
49 343 0 0 0 0.5000000042649809 4.493392202933153e-09 5.000000007344606
50 350 0 0 0 0.5000000042767522 4.493778519754315e-09 5.000000007343424
51 357 0 0 0 0.5000000042819769 4.493916114692332e-09 5.000000007346014
52 364 0 0 0 0.5000000042902072 4.494060154494156e-09 5.000000007350332
53 371 0 0 0 0.5000000042932733 4.493816144760608e-09 5.000000007352588
54 378 0 0 0 0.5000000042960634 4.4935900094207935e-09 5.000000007354387
55 385 0 0 0 0.5000000042991105 4.493501060588461e-09 5.0000000073566575
